time,h_tail,h_min,V
9.741000000000040515e+00,4.354374148684030110e-02,1.086310566650334347e-03,2.991336684088161113e-01
9.761000000000029431e+00,4.391203546291791437e-02,1.075221211518501835e-03,2.984447141833370121e-01
9.781000000000018346e+00,4.428201288551893156e-02,1.064233119241714959e-03,2.977416365836231815e-01
9.801000000000007262e+00,4.465370546404522079e-02,1.053342144951802811e-03,2.970243637949364635e-01
9.820999999999996177e+00,4.502715423039187204e-02,1.042544129689033233e-03,2.962927971785152548e-01
9.840999999999985093e+00,4.540240880269261203e-02,1.031834899737588823e-03,2.955468137024370723e-01
9.860999999999974008e+00,4.577952778192447003e-02,1.021210255292576835e-03,2.947862642477222517e-01
9.880999999999962924e+00,4.615857923551106023e-02,1.010665958458629304e-03,2.940109716294739828e-01
9.900999999999951839e+00,4.653964125703416443e-02,1.000197720010437968e-03,2.932207283777190088e-01
9.920999999999940755e+00,4.692280261272982478e-02,9.898011851407657880e-04,2.924152942379242837e-01
9.940999999999929670e+00,4.730816348652473746e-02,9.794719177007756017e-04,2.915943933517464726e-01
9.960999999999918586e+00,4.769583633887579388e-02,9.692053829851894620e-04,2.907577110648411622e-01
9.980999999999907502e+00,4.808594689758832752e-02,9.589969286070872123e-04,2.899048903014877498e-01
1.000099999999989642e+01,4.847863530138306343e-02,9.488417625692809054e-04,2.890355274300731581e-01
1.002099999999988533e+01,4.887405742095159156e-02,9.387349299199328201e-04,2.881491675386535500e-01
1.004099999999987425e+01,4.927238639340320026e-02,9.286712850037522060e-04,2.872452989979840110e-01
1.006099999999986316e+01,4.967369286388038929e-02,9.186476433486086279e-04,2.863237620143271323e-01
1.008099999999985208e+01,5.007553657525325164e-02,9.087001837425785766e-04,2.853928675622726674e-01
1.010099999999984099e+01,5.047600420827130785e-02,8.988201000243618843e-04,2.844586275872880710e-01
1.012099999999982991e+01,5.087492270103531611e-02,8.890093203297207147e-04,2.835215029729780123e-01
1.014099999999981883e+01,5.127233311897917700e-02,8.792613325988747619e-04,2.825814782354456600e-01
